,frequency,total_spending,anual_income,avg_transaction,concluded_offers,total_rewards,vis_rate,total_received,weighted_min_buy_ins
frequency,1.0,0.32697218954771456,-0.26294418441285705,-0.12777070479087949,0.38615072160559477,0.2817997844994687,0.13902422341347012,0.16600059517897928,0.33111804451127236
total_spending,0.32697218954771456,1.0,0.3295831576698743,0.7569733445275237,0.5250591241977501,0.48945260071227964,0.18028774723659113,0.09143825304756892,0.49585177714668893
anual_income,-0.26294418441285705,0.3295831576698743,1.0,0.49255647403142194,0.27907850201256873,0.2860984091497092,0.07062631109659648,-0.007391874944026562,0.2814249453371224
avg_transaction,-0.12777070479087949,0.7569733445275237,0.49255647403142194,1.0,0.30869031903330885,0.31045456384235554,0.11612128107777216,0.0007788171707342195,0.31004183228218907
concluded_offers,0.38615072160559477,0.5250591241977501,0.27907850201256873,0.30869031903330885,1.0,0.8751815976009785,0.2269610889114615,0.34463381584637565,0.9220257830056934
total_rewards,0.2817997844994687,0.48945260071227964,0.2860984091497092,0.31045456384235554,0.8751815976009785,1.0,0.21859085259184896,0.2851612054258869,0.8228685349790398
vis_rate,0.13902422341347012,0.18028774723659113,0.07062631109659648,0.11612128107777216,0.2269610889114615,0.21859085259184896,1.0,-0.06797195315760894,0.16540517579364913
total_received,0.16600059517897928,0.09143825304756892,-0.007391874944026562,0.0007788171707342195,0.34463381584637565,0.2851612054258869,-0.06797195315760894,1.0,0.3070654107535728
weighted_min_buy_ins,0.33111804451127236,0.49585177714668893,0.2814249453371224,0.31004183228218907,0.9220257830056934,0.8228685349790398,0.16540517579364913,0.3070654107535728,1.0
